hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,total_stay_nights,adults,children,babies,total_guests,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,69,2017,February,13,17,1,3,4,2,0,0,2,HB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,37,22,0,Transient,65.69,0,1,Check-Out,2016-06-15
City Hotel,0,137,2015,February,27,11,1,6,7,2,0,0,2,HB,NLD,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,457,0,0,Transient,102.94,0,3,Check-Out,2016-06-15
City Hotel,1,82,2016,July,38,14,2,1,3,2,2,0,4,BB,BEL,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,424,0,0,Transient,46.21,0,0,Canceled,2016-06-15
City Hotel,0,8,2016,December,33,9,2,2,4,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,321,0,10,Transient-Party,113.89,0,0,Check-Out,2016-06-15
Resort Hotel,0,20,2016,July,6,10,0,2,2,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,Refundable,483,0,0,Transient,115.13,0,0,Check-Out,2016-06-15
Resort Hotel,1,24,2017,January,13,4,1,1,2,1,0,0,1,HB,NLD,Groups,TA/TO,0,0,0,D,D,1,Non Refund,271,0,0,Transient,144.95,0,1,Canceled,2016-06-15
Resort Hotel,0,29,2017,April,13,2,2,3,5,2,2,0,4,BB,FRA,Online TA,Corporate,0,0,0,A,A,2,No Deposit,483,0,0,Transient,126.25,0,0,Check-Out,2016-06-15
City Hotel,1,83,2015,April,13,25,0,3,3,4,1,0,5,HB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,90,0,0,Transient-Party,80.44,0,0,Canceled,2016-06-15
City Hotel,0,70,2017,May,20,6,0,1,1,1,0,0,1,BB,NLD,Direct,TA/TO,0,0,0,B,B,0,No Deposit,307,22,0,Transient,179.67,0,0,Check-Out,2016-06-15
City Hotel,0,22,2016,January,36,27,0,3,3,1,0,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,371,22,0,Transient,95.75,0,0,Check-Out,2016-06-15
Resort Hotel,1,6,2016,October,37,26,1,2,3,2,0,0,2,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,364,0,0,Transient-Party,12.35,0,0,Canceled,2016-06-15
City Hotel,1,18,2015,July,45,3,2,1,3,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,3,0,0,Transient,89.59,0,0,Canceled,2016-06-15
City Hotel,0,415,2015,August,9,13,0,4,4,2,0,0,2,SC,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,304,0,0,Transient,116.68,0,0,Check-Out,2016-06-15
Resort Hotel,0,63,2016,February,17,12,1,1,2,2,0,1,3,BB,GBR,Offline TA/TO,TA/TO,0,0,0,B,D,1,No Deposit,28,0,0,Transient,116.71,0,0,Check-Out,2016-06-15
Resort Hotel,0,202,2016,January,35,18,2,2,4,2,0,0,2,SC,PRT,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,63,0,0,Transient,144.73,0,0,Check-Out,2016-06-15
Resort Hotel,0,188,2017,July,52,6,0,2,2,2,0,0,2,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,306,22,0,Transient,66.69,0,1,Check-Out,2016-06-15
Resort Hotel,0,71,2017,October,18,10,0,3,3,4,0,0,4,BB,PRT,Groups,TA/TO,0,0,0,A,E,0,No Deposit,79,0,0,Transient,127.95,0,1,Check-Out,2016-06-15
City Hotel,0,122,2017,July,25,6,2,1,3,2,0,0,2,BB,ESP,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,371,0,0,Transient,91.05,0,1,Check-Out,2016-06-15
City Hotel,0,21,2016,October,15,28,2,5,7,2,0,0,2,HB,NLD,Direct,TA/TO,1,0,1,A,A,0,No Deposit,5,22,0,Transient,22.85,1,1,Check-Out,2016-06-15
Resort Hotel,0,116,2016,September,23,28,0,6,6,2,0,0,2,BB,GBR,Corporate,Direct,0,0,0,A,A,0,No Deposit,122,0,0,Transient,119.59,0,1,Check-Out,2016-06-15
